Start,Duration
21/04/2021 19:38,42
21/04/2021 20:27,31
21/04/2021 21:37,14
22/04/2021 09:32,8
22/04/2021 11:19,4
22/04/2021 14:50,11
22/04/2021 16:36,123
22/04/2021 19:01,80
23/04/2021 17:54,89
23/04/2021 20:33,54
24/04/2021 09:46,122
24/04/2021 12:21,27
24/04/2021 13:28,47
24/04/2021 15:21,41
24/04/2021 20:24,23
24/04/2021 22:51,10
25/04/2021 11:39,43
25/04/2021 13:09,6
25/04/2021 15:42,178
25/04/2021 20:32,23
26/04/2021 11:39,8
27/04/2021 16:20,94
27/04/2021 20:51,33
28/04/2021 09:32,14
28/04/2021 14:08,13
28/04/2021 16:02,93
28/04/2021 18:06,17
29/04/2021 09:32,13
29/04/2021 10:13,2
29/04/2021 17:01,35
29/04/2021 17:53,72
29/04/2021 20:39,94
30/04/2021 16:51,8
30/04/2021 17:42,19
30/04/2021 18:25,20
01/05/2021 09:18,29
01/05/2021 12:05,16
01/05/2021 15:23,16
01/05/2021 17:55,126
01/05/2021 20:43,76
02/05/2021 12:34,68
02/05/2021 14:01,72
02/05/2021 16:05,13
02/05/2021 20:48,6
02/05/2021 23:13,10
03/05/2021 09:42,9
03/05/2021 12:32,15
03/05/2021 14:21,9
04/05/2021 09:21,6
04/05/2021 09:48,12
04/05/2021 20:12,47
05/05/2021 09:30,21
05/05/2021 11:13,2
05/05/2021 11:32,14
05/05/2021 12:46,12
05/05/2021 13:53,13
05/05/2021 17:53,145
05/05/2021 20:20,22
06/05/2021 09:37,8
06/05/2021 10:05,4
06/05/2021 11:28,11
06/05/2021 14:01,13
06/05/2021 18:13,127
07/05/2021 10:15,6
07/05/2021 15:35,82
07/05/2021 18:02,12
07/05/2021 20:35,51
08/05/2021 10:36,34
08/05/2021 13:08,5
08/05/2021 14:36,113
08/05/2021 18:19,141
11/05/2021 09:51,5
11/05/2021 12:41,11
11/05/2021 20:55,31
12/05/2021 17:13,28
12/05/2021 17:52,110
12/05/2021 20:04,103
12/05/2021 22:25,46
13/05/2021 00:06,7
13/05/2021 11:32,7
13/05/2021 13:51,27
13/05/2021 16:00,73
14/05/2021 11:53,19
14/05/2021 13:47,78
14/05/2021 15:46,75
14/05/2021 20:35,56
14/05/2021 22:07,67
15/05/2021 15:52,46
15/05/2021 17:43,41
15/05/2021 20:53,41
16/05/2021 02:55,7
16/05/2021 16:01,103
16/05/2021 20:48,36
16/05/2021 22:58,10
17/05/2021 22:50,9
17/05/2021 23:37,15
18/05/2021 11:32,9
18/05/2021 17:14,121
18/05/2021 20:16,85
19/05/2021 10:23,6
19/05/2021 16:40,67
19/05/2021 18:50,51
20/05/2021 01:17,22
20/05/2021 09:45,11
20/05/2021 16:41,51
20/05/2021 23:20,25
21/05/2021 15:25,219
21/05/2021 21:02,32
22/05/2021 00:02,44
22/05/2021 01:08,15
22/05/2021 10:01,34
22/05/2021 11:19,112
23/05/2021 10:19,3
23/05/2021 11:02,11
23/05/2021 12:17,13
23/05/2021 13:41,37
23/05/2021 14:25,191
23/05/2021 18:04,39
23/05/2021 21:43,19
23/05/2021 23:52,14
25/05/2021 20:14,82
26/05/2021 18:32,71
26/05/2021 23:47,14
27/05/2021 17:21,9
27/05/2021 17:41,82
27/05/2021 20:21,82
28/05/2021 16:47,71
28/05/2021 23:05,14
29/05/2021 00:01,8
29/05/2021 16:04,87
29/05/2021 22:13,2
29/05/2021 22:28,4
30/05/2021 11:49,3
30/05/2021 19:07,13
30/05/2021 19:54,15
31/05/2021 12:26,11
31/05/2021 18:02,72
01/06/2021 21:43,11
02/06/2021 08:04,8
03/06/2021 10:14,112
03/06/2021 16:51,150
03/06/2021 20:07,101
03/06/2021 22:19,4
04/06/2021 13:43,3
05/06/2021 11:17,11
05/06/2021 16:03,53
05/06/2021 20:01,25
05/06/2021 21:45,10
05/06/2021 22:43,17
06/06/2021 22:53,18
07/06/2021 09:32,11
07/06/2021 10:26,6
07/06/2021 16:33,6
07/06/2021 20:00,127
08/06/2021 10:35,3
08/06/2021 20:04,93
09/06/2021 09:13,8
09/06/2021 14:23,5
09/06/2021 16:48,9
09/06/2021 17:20,14
09/06/2021 19:18,35
09/06/2021 20:50,20
10/06/2021 09:10,9
10/06/2021 10:30,4
10/06/2021 22:02,16
11/06/2021 09:24,7
12/06/2021 00:16,3
12/06/2021 10:13,101
12/06/2021 13:02,19
12/06/2021 14:17,88
13/06/2021 07:23,79
13/06/2021 10:38,5
13/06/2021 12:29,77
14/06/2021 00:32,19
14/06/2021 10:52,16
14/06/2021 12:31,9
14/06/2021 15:59,13
14/06/2021 22:19,13
15/06/2021 17:44,83
15/06/2021 20:26,39
16/06/2021 01:17,17
16/06/2021 10:54,38
17/06/2021 23:27,21
18/06/2021 18:14,30
18/06/2021 23:53,8
19/06/2021 18:09,104
19/06/2021 21:17,25
21/06/2021 11:05,5
21/06/2021 13:33,52
21/06/2021 14:55,26
21/06/2021 19:22,116
21/06/2021 23:02,23
22/06/2021 11:49,3
22/06/2021 22:07,24
22/06/2021 23:12,30
23/06/2021 09:57,22
23/06/2021 15:21,5
23/06/2021 19:49,5
24/06/2021 15:28,23
24/06/2021 16:20,6
24/06/2021 20:30,18
24/06/2021 22:50,14
25/06/2021 14:02,30
25/06/2021 23:28,15
26/06/2021 11:23,8
27/06/2021 09:54,11
28/06/2021 09:31,11
28/06/2021 21:02,48
29/06/2021 10:02,21
30/06/2021 18:21,101
01/07/2021 10:05,6
01/07/2021 13:02,13
01/07/2021 17:07,26
01/07/2021 17:48,105
02/07/2021 09:07,6
02/07/2021 22:50,6
02/07/2021 23:35,8
03/07/2021 00:42,56
03/07/2021 13:19,78
04/07/2021 15:36,5
04/07/2021 16:42,75
04/07/2021 21:49,14
05/07/2021 01:02,20
05/07/2021 19:39,119
05/07/2021 22:15,72
06/07/2021 00:10,16
06/07/2021 16:13,3
06/07/2021 23:02,46
07/07/2021 01:51,14
07/07/2021 18:45,87
07/07/2021 20:31,95
07/07/2021 22:49,12
08/07/2021 01:18,19
08/07/2021 17:25,52
09/07/2021 08:45,6
09/07/2021 09:41,8
09/07/2021 10:21,29
09/07/2021 15:06,20
10/07/2021 12:40,33
10/07/2021 14:02,21
11/07/2021 10:48,8
11/07/2021 20:01,8
11/07/2021 20:17,23
11/07/2021 21:32,11
12/07/2021 00:00,8
12/07/2021 00:16,13
12/07/2021 16:39,9
12/07/2021 18:21,62
13/07/2021 01:09,16
13/07/2021 16:26,155
14/07/2021 15:20,192
14/07/2021 19:53,286
15/07/2021 21:13,23
16/07/2021 12:39,105
16/07/2021 14:53,166
16/07/2021 18:41,119
17/07/2021 00:39,24
19/07/2021 10:11,27
19/07/2021 22:15,13
20/07/2021 10:46,16
20/07/2021 21:59,20
21/07/2021 00:53,2
21/07/2021 16:51,258
22/07/2021 21:09,35
22/07/2021 22:14,9
23/07/2021 10:36,30
24/07/2021 18:00,30
24/07/2021 22:01,60
25/07/2021 11:10,5
25/07/2021 18:00,12
25/07/2021 22:56,64
26/07/2021 02:08,11
26/07/2021 13:13,71
26/07/2021 21:38,44
27/07/2021 13:02,35
27/07/2021 17:23,13
27/07/2021 20:01,17
27/07/2021 20:49,32
27/07/2021 21:56,28
28/07/2021 16:15,177
28/07/2021 19:24,44
28/07/2021 21:45,73
29/07/2021 02:53,15
29/07/2021 12:57,135
29/07/2021 21:32,67
29/07/2021 22:48,15
30/07/2021 12:41,96
30/07/2021 15:35,65
30/07/2021 18:38,114
31/07/2021 00:00,6
31/07/2021 00:35,27
31/07/2021 01:11,19
31/07/2021 01:36,9
31/07/2021 11:35,298
31/07/2021 23:53,91
01/08/2021 14:37,33
01/08/2021 15:52,173
01/08/2021 18:52,34
01/08/2021 22:07,88
02/08/2021 12:35,7
03/08/2021 11:21,7
03/08/2021 12:12,5
03/08/2021 14:36,13
03/08/2021 21:50,118
03/08/2021 00:41,32
03/08/2021 14:32,9
03/08/2021 21:43,6
03/08/2021 22:32,13
05/08/2021 12:13,7
05/08/2021 21:45,6
05/08/2021 22:47,13
06/08/2021 00:21,15
06/08/2021 11:42,90
06/08/2021 18:03,72
06/08/2021 22:30,22
07/08/2021 00:17,89
07/08/2021 02:01,21
07/08/2021 13:23,67
07/08/2021 15:11,76
08/08/2021 10:46,16
08/08/2021 15:20,116
08/08/2021 19:07,56
08/08/2021 20:50,69
08/08/2021 22:18,42
08/08/2021 23:38,18
09/08/2021 09:39,13
09/08/2021 12:58,18
09/08/2021 18:12,96
10/08/2021 00:53,20
10/08/2021 01:56,39
10/08/2021 03:35,19
10/08/2021 11:52,23
10/08/2021 17:19,15
10/08/2021 21:03,9
11/08/2021 10:02,3
11/08/2021 17:08,5
11/08/2021 22:03,20
12/08/2021 11:16,112
12/08/2021 13:23,72
13/08/2021 18:26,277
14/08/2021 20:02,63
15/08/2021 18:31,85
